
Starting training for 5000 iterations...
Training: 100%|██████████| 5000/5000 [21:34<00:00,  3.86it/s]
Iteration 500/5000: Loss=0.517786, MSE=0.517311, Pen=0.000475
Iteration 1000/5000: Loss=0.310366, MSE=0.309664, Pen=0.000702
Iteration 1500/5000: Loss=0.255155, MSE=0.254873, Pen=0.000282
Iteration 2000/5000: Loss=0.222131, MSE=0.221971, Pen=0.000160
Iteration 2500/5000: Loss=0.205669, MSE=0.205469, Pen=0.000200
Iteration 3000/5000: Loss=0.184361, MSE=0.184245, Pen=0.000116
Iteration 3500/5000: Loss=0.173646, MSE=0.173522, Pen=0.000124
Iteration 4000/5000: Loss=0.168556, MSE=0.168472, Pen=0.000084
Iteration 4500/5000: Loss=0.163622, MSE=0.163554, Pen=0.000068
Iteration 5000/5000: Loss=0.158845, MSE=0.158763, Pen=0.000083
