
Starting training for 10000 iterations...
Training: 100%|██████████| 10000/10000 [1:24:48<00:00,  1.97it/s]
Iteration 1000/10000: Loss=0.012029, MSE=0.012029, Pen=0.000001
Iteration 2000/10000: Loss=0.008272, MSE=0.008269, Pen=0.000003
Iteration 3000/10000: Loss=0.005649, MSE=0.005648, Pen=0.000001
Iteration 4000/10000: Loss=0.004242, MSE=0.004241, Pen=0.000001
Iteration 5000/10000: Loss=0.003678, MSE=0.003677, Pen=0.000000
Iteration 6000/10000: Loss=0.003099, MSE=0.003098, Pen=0.000001
Iteration 7000/10000: Loss=0.002797, MSE=0.002795, Pen=0.000002
Iteration 8000/10000: Loss=0.002892, MSE=0.002888, Pen=0.000005
Iteration 9000/10000: Loss=0.003348, MSE=0.003340, Pen=0.000008
Iteration 10000/10000: Loss=0.003094, MSE=0.003087, Pen=0.000007
