
Starting training for 1500 iterations...
Training: 100%|██████████| 1500/1500 [1:51:40<00:00,  4.47s/it]
Iteration 150/1500: Loss=nan, MSE=nan, Pen=nan, Best=8.485511 (iter 25)
Iteration 300/1500: Loss=nan, MSE=nan, Pen=nan, Best=8.485511 (iter 25)
Iteration 450/1500: Loss=nan, MSE=nan, Pen=nan, Best=8.485511 (iter 25)
Iteration 600/1500: Loss=nan, MSE=nan, Pen=nan, Best=8.485511 (iter 25)
Iteration 750/1500: Loss=nan, MSE=nan, Pen=nan, Best=8.485511 (iter 25)
Iteration 900/1500: Loss=nan, MSE=nan, Pen=nan, Best=8.485511 (iter 25)
Iteration 1050/1500: Loss=nan, MSE=nan, Pen=nan, Best=8.485511 (iter 25)
Iteration 1200/1500: Loss=nan, MSE=nan, Pen=nan, Best=8.485511 (iter 25)
Iteration 1350/1500: Loss=nan, MSE=nan, Pen=nan, Best=8.485511 (iter 25)
Iteration 1500/1500: Loss=nan, MSE=nan, Pen=nan, Best=8.485511 (iter 25)

Restoring best model from iteration 25 (loss=8.485511)
