
Starting training for 5000 iterations...
Training: 100%|██████████| 5000/5000 [41:27<00:00,  2.01it/s]
Iteration 500/5000: Loss=0.012975, MSE=0.012973, Pen=0.000002, Best=0.012975 (iter 500)
Iteration 1000/5000: Loss=0.007476, MSE=0.007469, Pen=0.000007, Best=0.007475 (iter 998)
Iteration 1500/5000: Loss=0.006273, MSE=0.006266, Pen=0.000007, Best=0.006273 (iter 1500)
Iteration 2000/5000: Loss=0.005356, MSE=0.005344, Pen=0.000012, Best=0.005356 (iter 2000)
Iteration 2500/5000: Loss=0.004626, MSE=0.004603, Pen=0.000023, Best=0.004626 (iter 2500)
Iteration 3000/5000: Loss=0.003586, MSE=0.003563, Pen=0.000023, Best=0.003586 (iter 3000)
Iteration 3500/5000: Loss=0.003151, MSE=0.003119, Pen=0.000032, Best=0.003125 (iter 3497)
Iteration 4000/5000: Loss=0.002849, MSE=0.002818, Pen=0.000031, Best=0.002827 (iter 3997)
Iteration 4500/5000: Loss=0.002677, MSE=0.002656, Pen=0.000021, Best=0.002619 (iter 4496)
Iteration 5000/5000: Loss=0.002479, MSE=0.002462, Pen=0.000017, Best=0.002478 (iter 4993)

Restoring best model from iteration 4993 (loss=0.002478)
