
Starting training for 5000 iterations...
Training: 100%|██████████| 5000/5000 [44:15<00:00,  1.88it/s]
Iteration 500/5000: Loss=0.010970, MSE=0.010970, Pen=0.000000, Best=0.010970 (iter 500)
Iteration 1000/5000: Loss=0.009432, MSE=0.009432, Pen=0.000000, Best=0.009432 (iter 1000)
Iteration 1500/5000: Loss=0.008921, MSE=0.008921, Pen=0.000000, Best=0.008921 (iter 1500)
Iteration 2000/5000: Loss=0.008836, MSE=0.008836, Pen=0.000000, Best=0.008836 (iter 2000)
Iteration 2500/5000: Loss=0.008787, MSE=0.008786, Pen=0.000000, Best=0.008787 (iter 2500)
Iteration 3000/5000: Loss=0.008754, MSE=0.008753, Pen=0.000000, Best=0.008754 (iter 3000)
Iteration 3500/5000: Loss=0.008718, MSE=0.008718, Pen=0.000000, Best=0.008718 (iter 3500)
Iteration 4000/5000: Loss=0.008663, MSE=0.008662, Pen=0.000001, Best=0.008663 (iter 3998)
Iteration 4500/5000: Loss=0.008624, MSE=0.008622, Pen=0.000002, Best=0.008624 (iter 4500)
Iteration 5000/5000: Loss=0.008576, MSE=0.008572, Pen=0.000004, Best=0.008576 (iter 5000)

Restoring best model from iteration 5000 (loss=0.008576)
