
Starting training for 5000 iterations...
Training: 100%|██████████| 5000/5000 [33:28<00:00,  2.49it/s]
Iteration 500/5000: Loss=0.002319, MSE=0.002319, Pen=0.000000, Best=0.002319 (iter 500)
Iteration 1000/5000: Loss=0.001948, MSE=0.001948, Pen=0.000000, Best=0.001948 (iter 1000)
Iteration 1500/5000: Loss=0.001746, MSE=0.001746, Pen=0.000000, Best=0.001746 (iter 1500)
Iteration 2000/5000: Loss=0.001564, MSE=0.001564, Pen=0.000000, Best=0.001564 (iter 2000)
Iteration 2500/5000: Loss=0.001548, MSE=0.001548, Pen=0.000000, Best=0.001548 (iter 2500)
Iteration 3000/5000: Loss=0.001543, MSE=0.001543, Pen=0.000000, Best=0.001543 (iter 3000)
Iteration 3500/5000: Loss=0.001538, MSE=0.001538, Pen=0.000000, Best=0.001538 (iter 3500)
Iteration 4000/5000: Loss=0.001533, MSE=0.001533, Pen=0.000000, Best=0.001533 (iter 4000)
Iteration 4500/5000: Loss=0.001528, MSE=0.001528, Pen=0.000000, Best=0.001528 (iter 4497)
Iteration 5000/5000: Loss=0.001526, MSE=0.001526, Pen=0.000000, Best=0.001526 (iter 5000)

Restoring best model from iteration 5000 (loss=0.001526)
