
Starting training for 5000 iterations...
Training: 100%|██████████| 5000/5000 [34:24<00:00,  2.42it/s]
Iteration 500/5000: Loss=-0.190430, MSE=-0.190430, Pen=0.000000, Best=-0.190430 (iter 500)
Iteration 1000/5000: Loss=-0.234915, MSE=-0.234915, Pen=0.000000, Best=-0.234915 (iter 1000)
Iteration 1500/5000: Loss=-0.235303, MSE=-0.235303, Pen=0.000000, Best=-0.235303 (iter 1500)
Iteration 2000/5000: Loss=-0.235551, MSE=-0.235551, Pen=0.000000, Best=-0.235551 (iter 2000)
Iteration 2500/5000: Loss=-0.238727, MSE=-0.238727, Pen=0.000000, Best=-0.238727 (iter 2500)
Iteration 3000/5000: Loss=-0.238810, MSE=-0.238810, Pen=0.000000, Best=-0.238810 (iter 3000)
Iteration 3500/5000: Loss=-0.238859, MSE=-0.238859, Pen=0.000000, Best=-0.238859 (iter 3493)
Iteration 4000/5000: Loss=-0.238875, MSE=-0.238875, Pen=0.000000, Best=-0.238875 (iter 4000)
Iteration 4500/5000: Loss=-0.238881, MSE=-0.238881, Pen=0.000000, Best=-0.238881 (iter 4496)
Iteration 5000/5000: Loss=-0.238888, MSE=-0.238888, Pen=0.000000, Best=-0.238888 (iter 5000)

Restoring best model from iteration 5000 (loss=-0.238888)
