
Starting training for 5000 iterations...
Training: 100%|██████████| 5000/5000 [37:49<00:00,  2.20it/s]
Iteration 500/5000: Loss=-82.254288, MSE=-82.274231, Pen=0.019943, Best=-82.254288 (iter 500)
Iteration 1000/5000: Loss=-86.000809, MSE=-86.015701, Pen=0.014890, Best=-86.001305 (iter 999)
Iteration 1500/5000: Loss=-86.952812, MSE=-86.963142, Pen=0.010330, Best=-86.979240 (iter 1497)
Iteration 2000/5000: Loss=-87.262505, MSE=-87.278854, Pen=0.016353, Best=-87.531288 (iter 1982)
Iteration 2500/5000: Loss=-87.933083, MSE=-87.955482, Pen=0.022397, Best=-87.940109 (iter 2492)
Iteration 3000/5000: Loss=-88.015198, MSE=-88.048874, Pen=0.033677, Best=-88.457710 (iter 2981)
Iteration 3500/5000: Loss=-88.815475, MSE=-88.843445, Pen=0.027971, Best=-88.906021 (iter 3493)
Iteration 4000/5000: Loss=-89.189072, MSE=-89.218948, Pen=0.029877, Best=-89.203087 (iter 3989)
Iteration 4500/5000: Loss=-89.060753, MSE=-89.292305, Pen=0.231551, Best=-89.401749 (iter 4468)
Iteration 5000/5000: Loss=-88.281357, MSE=-88.355263, Pen=0.073907, Best=-89.401749 (iter 4468)

Restoring best model from iteration 4468 (loss=-89.401749)
