
Starting training for 5000 iterations...
Training: 100%|██████████| 5000/5000 [33:39<00:00,  2.48it/s]
Iteration 500/5000: Loss=-0.754162, MSE=-0.754188, Pen=0.000026, Best=-0.754162 (iter 500)
Iteration 1000/5000: Loss=-0.801776, MSE=-0.801932, Pen=0.000157, Best=-0.801893 (iter 999)
Iteration 1500/5000: Loss=-0.811620, MSE=-0.811869, Pen=0.000249, Best=-0.813301 (iter 1497)
Iteration 2000/5000: Loss=-0.815475, MSE=-0.815751, Pen=0.000276, Best=-0.818302 (iter 1938)
Iteration 2500/5000: Loss=-0.821210, MSE=-0.821492, Pen=0.000282, Best=-0.822453 (iter 2489)
Iteration 3000/5000: Loss=-0.824887, MSE=-0.825229, Pen=0.000343, Best=-0.825141 (iter 2945)
Iteration 3500/5000: Loss=-0.818322, MSE=-0.818727, Pen=0.000405, Best=-0.829674 (iter 3487)
Iteration 4000/5000: Loss=-0.817076, MSE=-0.817455, Pen=0.000379, Best=-0.833487 (iter 3981)
Iteration 4500/5000: Loss=-0.836352, MSE=-0.836721, Pen=0.000369, Best=-0.836538 (iter 4498)
Iteration 5000/5000: Loss=-0.838600, MSE=-0.838974, Pen=0.000374, Best=-0.838822 (iter 4946)

Restoring best model from iteration 4946 (loss=-0.838822)
