
Starting training for 5000 iterations...
Training: 100%|██████████| 5000/5000 [38:46<00:00,  2.15it/s]
Iteration 500/5000: Loss=0.009715, MSE=0.009715, Pen=0.000000, Best=0.009715 (iter 500)
Iteration 1000/5000: Loss=0.007122, MSE=0.007122, Pen=0.000000, Best=0.007122 (iter 1000)
Iteration 1500/5000: Loss=0.006636, MSE=0.006636, Pen=0.000000, Best=0.006636 (iter 1500)
Iteration 2000/5000: Loss=0.006279, MSE=0.006279, Pen=0.000000, Best=0.006278 (iter 1994)
Iteration 2500/5000: Loss=0.006122, MSE=0.006122, Pen=0.000000, Best=0.006122 (iter 2500)
Iteration 3000/5000: Loss=0.006024, MSE=0.006024, Pen=0.000000, Best=0.006024 (iter 3000)
Iteration 3500/5000: Loss=0.005942, MSE=0.005942, Pen=0.000001, Best=0.005942 (iter 3500)
Iteration 4000/5000: Loss=0.005881, MSE=0.005881, Pen=0.000001, Best=0.005881 (iter 4000)
Iteration 4500/5000: Loss=0.005839, MSE=0.005838, Pen=0.000001, Best=0.005839 (iter 4500)
Iteration 5000/5000: Loss=0.005807, MSE=0.005806, Pen=0.000001, Best=0.005807 (iter 5000)

Restoring best model from iteration 5000 (loss=0.005807)
